timestamp,hour,depth,value,variable,method
2014-01-11T12:00:00Z,12,NA,4.4,secchi,secchi
2014-02-11T12:00:00Z,12,NA,4.7,secchi,secchi
2014-04-15T11:00:00Z,11,NA,4.7,secchi,secchi
2014-06-03T11:00:00Z,11,NA,4.9,secchi,secchi
2014-07-02T11:00:00Z,11,NA,NA,secchi,secchi
2014-07-30T11:00:00Z,11,NA,5,secchi,secchi
2014-07-31T11:00:00Z,11,NA,NA,secchi,secchi
2015-02-10T12:00:00Z,12,NA,NA,secchi,secchi
2015-04-07T11:00:00Z,11,NA,NA,secchi,secchi
2015-05-20T11:00:00Z,11,NA,NA,secchi,secchi
2015-06-24T11:00:00Z,11,NA,NA,secchi,secchi
2015-07-01T11:00:00Z,11,NA,NA,secchi,secchi
2015-07-15T11:00:00Z,11,NA,NA,secchi,secchi
2015-07-23T11:00:00Z,11,NA,NA,secchi,secchi
2015-08-27T11:00:00Z,11,NA,NA,secchi,secchi
2015-10-14T11:00:00Z,11,NA,NA,secchi,secchi
2015-11-05T12:00:00Z,12,NA,NA,secchi,secchi
2015-11-20T12:00:00Z,12,NA,NA,secchi,secchi
2015-12-28T12:00:00Z,12,NA,NA,secchi,secchi
2016-02-19T12:00:00Z,12,NA,NA,secchi,secchi
2016-02-29T12:00:00Z,12,NA,NA,secchi,secchi
2016-04-07T11:00:00Z,11,NA,NA,secchi,secchi
2016-05-03T11:00:00Z,11,NA,NA,secchi,secchi
2016-06-14T11:00:00Z,11,NA,NA,secchi,secchi
2016-07-06T11:00:00Z,11,NA,NA,secchi,secchi
2016-08-10T11:00:00Z,11,NA,4.5,secchi,secchi
2016-09-07T11:00:00Z,11,NA,4.6,secchi,secchi
2016-10-12T11:00:00Z,11,NA,4.5,secchi,secchi
2016-11-02T11:00:00Z,11,NA,4.8,secchi,secchi
2016-12-13T12:00:00Z,12,NA,NA,secchi,secchi
2017-02-01T12:00:00Z,12,NA,NA,secchi,secchi
2017-02-07T12:00:00Z,12,NA,NA,secchi,secchi
2017-02-22T12:00:00Z,12,NA,NA,secchi,secchi
2017-03-02T12:00:00Z,12,NA,NA,secchi,secchi
2017-03-09T12:00:00Z,12,NA,NA,secchi,secchi
2017-04-05T08:17:00Z,8,NA,NA,secchi,secchi
2017-05-02T08:27:00Z,8,NA,NA,secchi,secchi
2017-06-08T08:17:00Z,8,NA,3.5,secchi,secchi
2017-06-27T07:38:00Z,7,NA,3,secchi,secchi
2017-06-28T07:21:00Z,7,NA,3.4,secchi,secchi
2017-07-06T09:41:00Z,9,NA,NA,secchi,secchi
2017-07-12T08:22:00Z,8,NA,4.7,secchi,secchi
2017-07-18T08:09:00Z,8,NA,NA,secchi,secchi
2017-08-02T07:36:00Z,7,NA,NA,secchi,secchi
2017-09-05T08:08:00Z,8,NA,3.3,secchi,secchi
2017-10-10T08:34:00Z,8,NA,5.5,secchi,secchi
2017-10-31T10:55:00Z,10,NA,NA,secchi,secchi
2017-11-02T12:25:00Z,12,NA,NA,secchi,secchi
2017-11-07T10:23:00Z,10,NA,5.4,secchi,secchi
2017-11-09T11:56:00Z,11,NA,NA,secchi,secchi
2017-12-05T10:33:00Z,10,NA,NA,secchi,secchi
2018-01-04T10:13:00Z,10,NA,NA,secchi,secchi
2018-02-06T10:45:00Z,10,NA,NA,secchi,secchi
2018-02-21T11:19:00Z,11,NA,5.7,secchi,secchi
2018-02-22T14:00:00Z,14,NA,6,secchi,secchi
2018-03-05T10:10:00Z,10,NA,4.4,secchi,secchi
2018-04-02T21:42:00Z,21,NA,5.8,secchi,secchi
2018-04-30T10:54:00Z,10,NA,5.8,secchi,secchi
2018-06-05T11:16:00Z,11,NA,5.6,secchi,secchi
2018-07-09T09:21:00Z,9,NA,5.1,secchi,secchi
2018-07-16T09:14:00Z,9,NA,5.4,secchi,secchi
2018-07-31T08:15:00Z,8,NA,3.9,secchi,secchi
2018-09-05T08:14:00Z,8,NA,NA,secchi,secchi
2018-10-01T09:51:00Z,9,NA,3.8,secchi,secchi
2018-11-05T10:56:00Z,10,NA,4.9,secchi,secchi
2018-11-12T12:58:00Z,12,NA,4.1,secchi,secchi
2018-12-03T11:23:00Z,11,NA,5.2,secchi,secchi
2019-01-07T13:07:00Z,13,NA,NA,secchi,secchi
2019-02-05T10:35:00Z,10,NA,6.2,secchi,secchi
2019-02-15T11:42:00Z,11,NA,6.3,secchi,secchi
2019-02-20T10:13:00Z,10,NA,6.8,secchi,secchi
2019-03-05T10:40:00Z,10,NA,4.9,secchi,secchi
2019-04-11T08:55:00Z,8,NA,5.1,secchi,secchi
2019-05-08T08:45:00Z,8,NA,5.2,secchi,secchi
2019-06-11T09:31:00Z,9,NA,4.6,secchi,secchi
2019-07-08T08:39:00Z,8,NA,4.8,secchi,secchi
2019-07-16T07:28:00Z,7,NA,6.4,secchi,secchi
2019-08-13T11:29:00Z,11,NA,5.8,secchi,secchi
2019-09-10T07:18:00Z,7,NA,5.3,secchi,secchi
2019-10-01T09:03:00Z,9,NA,4.3,secchi,secchi
2019-10-29T07:54:00Z,7,NA,6.2,secchi,secchi
2019-11-04T10:00:00Z,10,NA,5.3,secchi,secchi
2019-12-09T08:53:00Z,8,NA,6,secchi,secchi
2020-01-07T09:29:00Z,9,NA,5.1,secchi,secchi
2020-02-04T09:35:00Z,9,NA,5.1,secchi,secchi
2020-02-11T11:47:00Z,11,NA,4.7,secchi,secchi
2020-02-18T09:23:00Z,9,NA,4.9,secchi,secchi
2020-03-03T09:06:00Z,9,NA,5.7,secchi,secchi
2020-06-16T07:51:00Z,7,NA,4,secchi,secchi
2020-07-06T10:13:00Z,10,NA,4.3,secchi,secchi
2020-07-07T08:33:00Z,8,NA,4,secchi,secchi
2020-07-14T08:18:00Z,8,NA,5.2,secchi,secchi
2020-10-13T07:06:00Z,7,NA,5.1,secchi,secchi
2020-10-27T08:46:00Z,8,NA,5.1,secchi,secchi
2020-11-02T09:34:00Z,9,NA,5.7,secchi,secchi
2020-11-03T09:45:00Z,9,NA,4.6,secchi,secchi
2020-12-01T08:18:00Z,8,NA,3.8,secchi,secchi
2021-01-05T09:53:00Z,9,NA,NA,secchi,secchi
2021-01-26T08:45:00Z,8,NA,NA,secchi,secchi
2021-02-10T09:07:00Z,9,NA,NA,secchi,secchi
