time,AirTemp,ShortWave,LongWave,RelHum,WindSpeed,Rain,Snow
2020-10-01 00:00,5.6115,0,344.75,97.665,1.5992,2.0777,0
2020-10-01 01:00,5.0962,1.965,341.65,97.855,1.1518,0,0
2020-10-01 02:00,5.0514,28.09,341.4,97.73,1.0065,0,0
2020-10-01 03:00,5.3932,56.99,344.35,96.78,1.2413,0,0
2020-10-01 04:00,4.9855,63.235,342.9,96.385,1.3643,0,0
2020-10-01 05:00,4.953,92.31,343.15,95.87,1.4761,0,0
2020-10-01 06:00,5.322,194.44,346.3,93.565,1.3643,0,0
2020-10-01 07:00,6.4115,215.215,352.8,82.585,1.7893,0,0
2020-10-01 08:00,6.2343,176.11,352.65,79.285,1.7334,1.0389,0
2020-10-01 09:00,5.8205,161.97,347.65,73.845,1.8005,0,0
2020-10-01 10:00,5.6837,163.425,350.45,66.83,1.6327,0,0
2020-10-01 11:00,4.9419,91.285,341.25,68.92,1.2972,0,0
2020-10-01 12:00,3.3712,16.075,319.45,76.62,1.1966,0,0
2020-10-01 13:00,1.6959,0,300.9,83.435,0.4585,0,0
2020-10-01 14:00,0.8007,0,297,91.83,0.5703,0,0
2020-10-01 15:00,1.1482,0.245,314.85,91.755,0.4697,0,0
2020-10-01 16:00,1.6706,0.005,319.25,90.045,0.492,0,0
2020-10-01 17:00,1.8019,0,322.95,92.935,0.8052,0,0
2020-10-01 18:00,1.6599,0,321.65,96.1,0.6039,0,0
2020-10-01 19:00,1.5099,0,320.65,95.035,0.4138,0,0
2020-10-01 20:00,1.3993,0,319.6,93.995,0.369,0,0
2020-10-01 21:00,1.3894,0,319.4,94.775,0.4473,0,0
2020-10-01 22:00,1.5443,0,320.15,94.98,0.6262,0,0
2020-10-01 23:00,1.5478,0,319.9,94.49,0.4473,0,0
2020-10-02 00:00,1.3852,0,319.3,94.96,0.4361,0,0
2020-10-02 01:00,1.3207,2.28,319.55,94.915,0.548,0,0
2020-10-02 02:00,1.6233,25.96,322.15,93.74,0.5815,0,0
2020-10-02 03:00,2.1603,66.07,324.8,92.105,0.7157,0,0
2020-10-02 04:00,3.1891,122.09,328.85,84.285,0.8835,0,0
2020-10-02 05:00,3.7776,151.735,331.8,79.54,1.5992,0,0
2020-10-02 06:00,3.377,210.165,331.7,85.42,1.2972,0,0
2020-10-02 07:00,5.1146,251.845,328.95,72.09,1.3867,0,0
2020-10-02 08:00,5.4033,208.875,327.8,72.79,1.7222,0,0
2020-10-02 09:00,4.8455,92.37,330.25,73.555,1.1295,0,0
2020-10-02 10:00,3.9491,51.25,327.5,80.3,1.0959,0,0
2020-10-02 11:00,3.6779,40.78,323.9,75.485,1.1071,0,0
2020-10-02 12:00,3.2047,7.755,322.75,81.055,1.0065,0,0
2020-10-02 13:00,2.7505,0,320.25,83.24,0.7828,1.0389,0
2020-10-02 14:00,2.4726,0,317.55,84.485,0.7045,0,0
2020-10-02 15:00,2.0645,0,314.8,85.785,0.4361,0,0
2020-10-02 16:00,1.8179,0,314.15,89.525,0.3243,0,0
2020-10-02 17:00,1.8333,0,313.7,91.22,0.425,0,0
2020-10-02 18:00,1.6865,0,313.5,92.305,0.6262,0,0
2020-10-02 19:00,1.7313,0,314.7,92.485,0.6151,0,0
2020-10-02 20:00,2.4225,0,316.55,88.61,1.4873,0,0
2020-10-02 21:00,2.4713,0,319.5,88.67,1.0847,0,0
2020-10-02 22:00,1.8304,0,314.65,93.72,0.5591,0,0
2020-10-02 23:00,1.8695,0,315.05,93.185,0.548,0,0
2020-10-02 19:00,20.4189,0,350,1.4318,1.5738,0,0
2020-10-02 20:00,20.163,0,350,1.4357,1.7015,0,0
2020-10-02 21:00,19.8054,0,350,1.4425,1.8029,0,0
2020-10-02 22:00,19.3698,0,350,1.4525,1.8829,0,0
2020-10-02 23:00,18.8799,0,350,1.4656,1.9465,0,0
2020-10-03 00:00,18.3594,0,350,1.482,1.9986,0,0
2020-10-03 01:00,17.8319,0,346,1.5017,2.0439,0,0
2020-10-03 02:00,17.3305,0,346,1.525,2.0904,0,0
2020-10-03 03:00,16.9252,0,346,1.553,2.1576,0,0
2020-10-03 04:00,16.6954,0,346,1.5867,2.2679,0,0
2020-10-03 05:00,16.7203,0,346,1.6273,2.4436,0,0
2020-10-03 06:00,17.0795,12,346,1.6751,2.7073,0,0
2020-10-03 07:00,17.8522,171.4592,372,1.7302,3.0812,0,0
2020-10-03 08:00,19.0713,326.1519,372,1.791,3.5733,0,0
2020-10-03 09:00,20.5844,456.1283,372,1.8527,4.133,0,0
2020-10-03 10:00,22.1925,552.5212,372,1.9107,4.6951,0,0
2020-10-03 11:00,23.6966,608.7534,372,1.9619,5.1945,0,0
2020-10-03 12:00,24.8978,620.986,372,2.0045,5.5659,0,0
2020-10-03 13:00,25.597,433.8846,396,2.0374,5.7443,4e-4,0
2020-10-03 14:00,25.6581,378.4114,396,2.0604,5.6864,4e-4,0
2020-10-03 15:00,25.1953,295.2876,396,2.0764,5.4363,4e-4,0
2020-10-03 16:00,24.3854,190.1764,396,2.0882,5.0601,4e-4,0
2020-10-03 17:00,23.4053,70.2399,396,2.0987,4.624,4e-4,0
2020-10-03 18:00,22.432,0,396,2.1108,4.1941,4e-4,0
2020-10-03 19:00,21.6424,0,391.2443,2.1276,3.8363,0,0
2020-10-03 20:00,21.1703,0,391.2443,2.1517,3.5997,0,0
2020-10-03 21:00,20.978,0,391.2443,2.1817,3.4639,0,0
2020-10-03 22:00,20.9848,0,391.2443,2.2151,3.3918,0,0
2020-10-03 23:00,21.1099,0,391.2443,2.2495,3.3459,0,0
2020-10-04 00:00,21.2725,0,391.2443,2.2828,3.2889,0,0
2020-10-04 01:00,21.392,0,409,2.3128,3.1834,0.0092,0
2020-10-04 02:00,21.4051,0,409,2.3379,3.0048,0.0092,0
2020-10-04 03:00,21.3187,0,409,2.3579,2.7795,0.0092,0
2020-10-04 04:00,21.157,0,409,2.3725,2.5464,0.0092,0
2020-10-04 05:00,20.9446,0,409,2.3815,2.3447,0.0092,0
2020-10-04 06:00,20.7057,0,409,2.3846,2.2134,0.0092,0
2020-10-04 07:00,20.4647,14.9592,410,2.3817,2.1915,0.028,0
2020-10-04 08:00,20.2411,28.5831,410,2.3726,2.3037,0.028,0
2020-10-04 09:00,20.0348,40.0241,410,2.3581,2.5166,0.028,0
2020-10-04 10:00,19.8409,48.5017,410,2.3392,2.7824,0.028,0
2020-10-04 11:00,19.6544,53.4375,410,2.3171,3.0532,0.028,0
2020-10-04 12:00,19.4703,54.4945,410,2.2927,3.2811,0.028,0
2020-10-04 13:00,19.2838,99.3355,399,2.2672,3.4184,4e-4,0
2020-10-04 14:00,19.0933,86.5365,399,2.2416,3.4306,4e-4,0
2020-10-04 15:00,18.9109,67.3817,399,2.217,3.3367,4e-4,0
2020-10-04 16:00,18.7525,43.1764,399,2.1947,3.1689,4e-4,0
2020-10-04 17:00,18.6337,15.5698,399,2.176,2.9597,4e-4,0
2020-10-04 18:00,18.5701,0,399,2.1621,2.7414,4e-4,0
2020-10-04 19:00,18.5774,0,385,2.1543,2.5463,0,0
2020-10-04 20:00,18.662,0,385,2.1534,2.4004,0,0
2020-10-04 21:00,18.7931,0,385,2.1577,2.304,0,0
2020-10-04 22:00,18.9303,0,385,2.1653,2.251,0,0
2020-10-04 23:00,19.0336,0,385,2.1741,2.2355,0,0
2020-10-05 00:00,19.0626,0,385,2.182,2.2513,0,0
2020-10-05 01:00,18.9773,0,395,2.1872,2.2925,0,0
2020-10-05 02:00,18.7605,0,395,2.1881,2.3548,0,0
2020-10-05 03:00,18.4878,0,395,2.1853,2.4413,0,0
2020-10-05 04:00,18.2579,0,395,2.1799,2.5571,0,0
2020-10-05 05:00,18.1695,0,395,2.173,2.7072,0,0
2020-10-05 06:00,18.3213,0,395,2.1659,2.8965,0,0
2020-10-05 07:00,18.8119,89.6301,399,2.1597,3.1301,0,0
2020-10-05 08:00,19.6974,172.0463,399,2.1557,3.4066,0,0
2020-10-05 09:00,20.8628,241.2213,399,2.1551,3.6994,0,0
2020-10-05 10:00,22.1504,292.436,399,2.1593,3.9758,0,0
2020-10-05 11:00,23.4025,322.1961,399,2.1699,4.2028,0,0
2020-10-05 12:00,24.4614,328.4702,399,2.1886,4.3477,0,0
2020-10-05 13:00,25.1695,293.4006,413.9385,2.2175,4.3775,0,0
2020-10-05 14:00,25.4142,255.3057,413.9385,2.2581,4.2705,0,0
2020-10-05 15:00,25.2637,198.3636,413.9385,2.3076,4.0497,0,0
2020-10-05 16:00,24.8312,126.4539,413.9385,2.362,3.7489,0,0
2020-10-05 17:00,24.2301,44.4763,413.9385,2.4171,3.4021,0,0
2020-10-05 18:00,23.5736,0,413.9385,2.4681,3.0433,0,0
2020-10-05 19:00,22.9751,0,385,2.5098,2.7066,0,0
2020-10-05 20:00,22.5224,0,385,2.5382,2.4192,0,0
2020-10-05 21:00,22.2019,0,385,2.5551,2.1822,0,0
2020-10-05 22:00,21.9746,0,385,2.5641,1.99,0,0
2020-10-05 23:00,21.8014,0,385,2.5687,1.8371,0,0
2020-10-06 00:00,21.6435,0,385,2.5727,1.7179,0,0
2020-10-06 01:00,21.4618,0,386,2.5798,1.6268,0,0
2020-10-06 02:00,21.2367,0,386,2.5926,1.5609,0,0
2020-10-06 03:00,21.0266,0,386,2.609,1.5277,0,0
2020-10-06 04:00,20.9092,0,386,2.6257,1.5374,0,0
2020-10-06 05:00,20.9622,0,386,2.6391,1.6002,0,0
2020-10-06 06:00,21.2635,0,386,2.6457,1.7263,0,0
2020-10-06 07:00,21.8909,92.818,418,2.6421,1.9259,4e-4,0
2020-10-06 08:00,22.8826,179.0053,418,2.6261,2.2015,4e-4,0
2020-10-06 09:00,24.1194,251.3086,418,2.6007,2.5244,4e-4,0
2020-10-06 10:00,25.4426,304.7956,418,2.57,2.8585,4e-4,0
2020-10-06 11:00,26.6935,335.817,418,2.538,3.1675,4e-4,0
2020-10-06 12:00,27.7134,342.2555,418,2.5085,3.4151,4e-4,0
2020-10-06 13:00,28.3437,696.8701,411,2.4849,3.5651,0,0
2020-10-06 14:00,28.4725,605.6995,411,2.4697,3.5916,0,0
2020-10-06 15:00,28.1755,469.5844,411,2.4627,3.51,0,0
2020-10-06 16:00,27.5752,297.7986,411,2.463,3.3463,0,0
2020-10-06 17:00,26.7942,102.0474,411,2.4698,3.1262,0,0
2020-10-06 18:00,25.9551,0,411,2.4826,2.8756,0,0
2020-10-06 19:00,25.1805,0,389,2.5009,2.6204,0,0
2020-10-06 20:00,24.5638,0,389,2.5241,2.3824,0,0
2020-10-06 21:00,24.0821,0,389,2.5512,2.1679,0,0
2020-10-06 22:00,23.6833,0,389,2.5811,1.9789,0,0
2020-10-06 23:00,23.3157,0,389,2.6128,1.8179,0,0
2020-10-07 00:00,22.927,0,389,2.6451,1.6869,0,0
2020-10-07 01:00,22.4654,0,383.3044,2.6771,1.5882,0,0
2020-10-07 02:00,21.9106,0,383.3044,2.707,1.523,0,0
2020-10-07 03:00,21.3691,0,383.3044,2.7303,1.4886,0,0
2020-10-07 04:00,20.979,0,383.3044,2.7418,1.4814,0,0
2020-10-07 05:00,20.8787,0,383.3044,2.736,1.4977,0,0
2020-10-07 06:00,21.2064,0,383.3044,2.7078,1.5339,0,0
2020-10-07 07:00,22.1002,189.3291,413,2.6531,1.5863,8e-4,0
2020-10-07 08:00,23.6274,366.8995,413,2.5718,1.6523,8e-4,0
2020-10-07 09:00,25.5715,515.7908,413,2.4773,1.7338,8e-4,0
2020-10-07 10:00,27.6451,625.8464,413,2.3846,1.8339,8e-4,0
2020-10-07 11:00,29.5605,689.5577,413,2.3063,1.9555,8e-4,0
2020-10-07 12:00,31.0303,702.5766,413,2.2534,2.1016,8e-4,0
2020-10-07 13:00,31.767,599.0775,422,2.236,2.2753,0.0124,0
2020-10-07 14:00,31.5746,520.1106,422,2.261,2.4751,0.0124,0
2020-10-07 15:00,30.6237,402.3504,422,2.3208,2.6817,0.0124,0
2020-10-07 16:00,29.1764,253.8204,422,2.4044,2.8713,0.0124,0
2020-10-07 17:00,27.4948,84.6411,422,2.5,3.0203,0.0124,0
2020-10-07 18:00,25.8409,0,422,2.5944,3.1048,0.0124,0
2020-10-07 19:00,24.4769,0,395,2.6721,3.1012,4e-4,0
2020-10-07 20:00,23.5995,0,395,2.7202,2.994,4e-4,0
2020-10-07 21:00,23.1441,0,395,2.7417,2.801,4e-4,0
